,country,state,district,year,dyid,Serial No.,District,calcium,SDP,Gini
0,India,West Bengal,24 Paraganas North,2000,24 Paraganas North2000,625.0,North Twenty Four,50.588234,151670.0,0.38
1,India,West Bengal,24 Paraganas North,2001,24 Paraganas North2001,625.0,North Twenty Four,,162624.0,0.38
2,India,West Bengal,24 Paraganas North,2002,24 Paraganas North2002,625.0,North Twenty Four,85.666664,168324.0,0.38
3,India,West Bengal,24 Paraganas North,2003,24 Paraganas North2003,625.0,North Twenty Four,,178214.0,0.38
4,India,West Bengal,24 Paraganas North,2004,24 Paraganas North2004,625.0,North Twenty Four,57.040001,190029.0,0.38
5,India,West Bengal,24 Paraganas North,2005,24 Paraganas North2005,625.0,North Twenty Four,32.108109,201994.0,0.38
6,India,West Bengal,24 Paraganas North,2006,24 Paraganas North2006,625.0,North Twenty Four,,217849.0,0.38
7,India,West Bengal,24 Paraganas North,2007,24 Paraganas North2007,625.0,North Twenty Four,42.833332,234798.0,0.38
8,India,West Bengal,24 Paraganas North,2008,24 Paraganas North2008,625.0,North Twenty Four,112.0,244262.0,0.38
9,India,West Bengal,24 Paraganas North,2009,24 Paraganas North2009,625.0,North Twenty Four,,263230.0,0.38
10,India,West Bengal,24 Paraganas North,2010,24 Paraganas North2010,625.0,North Twenty Four,,279191.0,0.38
11,India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,625.0,North Twenty Four,,289432.0,0.38
12,India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,625.0,North Twenty Four,,301479.0,0.38
13,India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,625.0,North Twenty Four,,308238.0,0.38
14,India,West Bengal,24 Paraganas North,2014,24 Paraganas North2014,625.0,North Twenty Four,,315425.0,0.38
15,India,West Bengal,24 Paraganas North,2015,24 Paraganas North2015,625.0,North Twenty Four,,334561.0,0.38
16,India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,625.0,North Twenty Four,45.093334,357756.0,0.38
17,India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,625.0,North Twenty Four,20.564102,381534.0,0.38
18,India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,625.0,North Twenty Four,27.125,403248.0,0.38
19,India,West Bengal,24 Paraganas South,2000,24 Paraganas South2000,629.0,South Twenty Four,53.483871,151670.0,0.29
20,India,West Bengal,24 Paraganas South,2001,24 Paraganas South2001,629.0,South Twenty Four,51.947369,162624.0,0.29
21,India,West Bengal,24 Paraganas South,2002,24 Paraganas South2002,629.0,South Twenty Four,55.294117,168324.0,0.29
22,India,West Bengal,24 Paraganas South,2003,24 Paraganas South2003,629.0,South Twenty Four,,178214.0,0.29
23,India,West Bengal,24 Paraganas South,2004,24 Paraganas South2004,629.0,South Twenty Four,37.81818,190029.0,0.29
24,India,West Bengal,24 Paraganas South,2005,24 Paraganas South2005,629.0,South Twenty Four,43.285713,201994.0,0.29
25,India,West Bengal,24 Paraganas South,2006,24 Paraganas South2006,629.0,South Twenty Four,,217849.0,0.29
26,India,West Bengal,24 Paraganas South,2007,24 Paraganas South2007,629.0,South Twenty Four,35.0,234798.0,0.29
27,India,West Bengal,24 Paraganas South,2008,24 Paraganas South2008,629.0,South Twenty Four,,244262.0,0.29
28,India,West Bengal,24 Paraganas South,2009,24 Paraganas South2009,629.0,South Twenty Four,42.799999,263230.0,0.29
29,India,West Bengal,24 Paraganas South,2010,24 Paraganas South2010,629.0,South Twenty Four,31.0,279191.0,0.29
30,India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,629.0,South Twenty Four,40.880001,289432.0,0.29
31,India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,629.0,South Twenty Four,25.846153,301479.0,0.29
32,India,West Bengal,24 Paraganas South,2013,24 Paraganas South2013,629.0,South Twenty Four,46.636364,308238.0,0.29
33,India,West Bengal,24 Paraganas South,2014,24 Paraganas South2014,629.0,South Twenty Four,,315425.0,0.29
34,India,West Bengal,24 Paraganas South,2015,24 Paraganas South2015,629.0,South Twenty Four,,334561.0,0.29
35,India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,629.0,South Twenty Four,58.085712,357756.0,0.29
36,India,West Bengal,24 Paraganas South,2017,24 Paraganas South2017,629.0,South Twenty Four,44.703705,381534.0,0.29
37,India,West Bengal,24 Paraganas South,2018,24 Paraganas South2018,629.0,South Twenty Four,35.644444,403248.0,0.29
38,India,Telangana,Adilabad,2000,Adilabad2000,528.0,Adilabad,61.799999,,0.37
39,India,Telangana,Adilabad,2001,Adilabad2001,528.0,Adilabad,,,0.37
40,India,Telangana,Adilabad,2002,Adilabad2002,528.0,Adilabad,,,0.37
41,India,Telangana,Adilabad,2003,Adilabad2003,528.0,Adilabad,,,0.37
42,India,Telangana,Adilabad,2004,Adilabad2004,528.0,Adilabad,31.666666,79916.0,0.37
43,India,Telangana,Adilabad,2005,Adilabad2005,528.0,Adilabad,95.5,92751.0,0.37
44,India,Telangana,Adilabad,2006,Adilabad2006,528.0,Adilabad,41.700001,102977.0,0.37
45,India,Telangana,Adilabad,2007,Adilabad2007,528.0,Adilabad,72.400002,113456.0,0.37
46,India,Telangana,Adilabad,2008,Adilabad2008,528.0,Adilabad,109.88,128918.0,0.37
47,India,Telangana,Adilabad,2009,Adilabad2009,528.0,Adilabad,73.0,129267.0,0.37
48,India,Telangana,Adilabad,2010,Adilabad2010,528.0,Adilabad,85.63636,152123.0,0.37
49,India,Telangana,Adilabad,2011,Adilabad2011,528.0,Adilabad,110.36364,160602.0,0.37
50,India,Telangana,Adilabad,2012,Adilabad2012,528.0,Adilabad,,165080.0,0.37
51,India,Telangana,Adilabad,2013,Adilabad2013,528.0,Adilabad,48.545456,172681.0,0.37
52,India,Telangana,Adilabad,2014,Adilabad2014,528.0,Adilabad,75.272728,184192.0,0.37
53,India,Telangana,Adilabad,2015,Adilabad2015,528.0,Adilabad,103.0,205923.0,0.37
