,Unnamed: 0,country,state,district,year,dyid,Serial No.,District,calcium,SDP,Gini,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
0,0,India,West Bengal,24 Paraganas North,2000,24 Paraganas North2000,625.0,North Twenty Four,50.588234,151670.0,0.38,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,India,West Bengal,24 Paraganas North,2001,24 Paraganas North2001,625.0,North Twenty Four,,162624.0,0.38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,India,West Bengal,24 Paraganas North,2002,24 Paraganas North2002,625.0,North Twenty Four,85.666664,168324.0,0.38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,India,West Bengal,24 Paraganas North,2003,24 Paraganas North2003,625.0,North Twenty Four,,178214.0,0.38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,India,West Bengal,24 Paraganas North,2004,24 Paraganas North2004,625.0,North Twenty Four,57.040001,190029.0,0.38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,India,West Bengal,24 Paraganas North,2005,24 Paraganas North2005,625.0,North Twenty Four,32.108109,201994.0,0.38,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,6,India,West Bengal,24 Paraganas North,2006,24 Paraganas North2006,625.0,North Twenty Four,,217849.0,0.38,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,7,India,West Bengal,24 Paraganas North,2007,24 Paraganas North2007,625.0,North Twenty Four,42.833332,234798.0,0.38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8,8,India,West Bengal,24 Paraganas North,2008,24 Paraganas North2008,625.0,North Twenty Four,112.0,244262.0,0.38,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9,9,India,West Bengal,24 Paraganas North,2009,24 Paraganas North2009,625.0,North Twenty Four,,263230.0,0.38,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,10,India,West Bengal,24 Paraganas North,2010,24 Paraganas North2010,625.0,North Twenty Four,,279191.0,0.38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11,11,India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,625.0,North Twenty Four,,289432.0,0.38,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,12,India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,625.0,North Twenty Four,,301479.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,13,India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,625.0,North Twenty Four,,308238.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14,14,India,West Bengal,24 Paraganas North,2014,24 Paraganas North2014,625.0,North Twenty Four,,315425.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
15,15,India,West Bengal,24 Paraganas North,2015,24 Paraganas North2015,625.0,North Twenty Four,,334561.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
16,16,India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,625.0,North Twenty Four,45.093334,357756.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
17,17,India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,625.0,North Twenty Four,20.564102,381534.0,0.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
