X,country,state,district,year,dyid,Serial.No.,District,calcium,SDP,Gini
2728,India,Rajasthan,Dhaulpur,2000,Dhaulpur2000,483,Dhaulpur,220,89372,0.25
2729,India,Rajasthan,Dhaulpur,2001,Dhaulpur2001,483,Dhaulpur,184,99549,0.25
2734,India,Rajasthan,Dhaulpur,2006,Dhaulpur2006,483,Dhaulpur,212,134350,0.25
2738,India,Rajasthan,Dhaulpur,2010,Dhaulpur2010,483,Dhaulpur,212,185366,0.25
2739,India,Rajasthan,Dhaulpur,2011,Dhaulpur2011,483,Dhaulpur,296,202749,0.25
2740,India,Rajasthan,Dhaulpur,2012,Dhaulpur2012,483,Dhaulpur,260,210171,0.25
2741,India,Rajasthan,Dhaulpur,2013,Dhaulpur2013,483,Dhaulpur,288,222730,0.25
2743,India,Rajasthan,Dhaulpur,2015,Dhaulpur2015,483,Dhaulpur,265,257415,0.25
2744,India,Rajasthan,Dhaulpur,2016,Dhaulpur2016,483,Dhaulpur,212,271636,0.25
3260,India,Haryana,Faridabad,2008,Faridabad2008,161,Faridabad,185,121588,0.42
3317,India,Haryana,Fatehabad,2008,Fatehabad2008,167,Fatehabad,200.83333,121588,0.3
3869,India,Haryana,Gurgaon,2009,Gurgaon2009,149,Gurgaon,194.25,136780,0.42
3964,India,Rajasthan,Hanumangarh,2009,Hanumangarh2009,459,Hanumangarh,205.64706,161159,0.24
4089,India,Jharkhand,Hazaribagh,2001,Hazaribagh2001,205,Hazaribagh,276,40994,0.24
4266,India,Madhya Pradesh,Indore,2007,Indore2007,272,Indore,414,119958,0.3
4462,India,Maharashtra,Jalna,2013,Jalna2013,330,Jalna,227.25,782973,0.18
4485,India,Rajasthan,Jalore,2017,Jalore2017,468,Jalor,353.33334,285979,0.25
4588,India,Telangana,Jangoan,2006,Jangoan2006,530,Warangal,211.39999,102977,0.23
4593,India,Telangana,Jangoan,2011,Jangoan2011,530,Warangal,182,160602,0.23
4738,India,Rajasthan,Jhalawar,2004,Jhalawar2004,479,Jhalawar,199.125,112636,0.2
4896,India,Telangana,Jogulamba Gadwal,2010,Jogulamba Gadwal2010,526,Mahbubnagar,222,152123,0.25
4897,India,Telangana,Jogulamba Gadwal,2011,Jogulamba Gadwal2011,526,Mahbubnagar,272,160602,0.25
4901,India,Telangana,Jogulamba Gadwal,2015,Jogulamba Gadwal2015,526,Mahbubnagar,187,205923,0.25
4903,India,Telangana,Jogulamba Gadwal,2017,Jogulamba Gadwal2017,526,Mahbubnagar,268,246058,0.25
4904,India,Telangana,Jogulamba Gadwal,2018,Jogulamba Gadwal2018,526,Mahbubnagar,206,268926,0.25
4924,India,Gujarat,Junagadh,2000,Junagadh2000,123,Junagadh,350.69049,118544,0.23
4926,India,Gujarat,Junagadh,2002,Junagadh2002,123,Junagadh,307.85184,139353,0.23
4929,India,Gujarat,Junagadh,2005,Junagadh2005,123,Junagadh,410.94736,197270,0.23
4930,India,Gujarat,Junagadh,2006,Junagadh2006,123,Junagadh,356.75,213954,0.23
4931,India,Gujarat,Junagadh,2007,Junagadh2007,123,Junagadh,192.22223,239253,0.23
4932,India,Gujarat,Junagadh,2008,Junagadh2008,123,Junagadh,268.21054,249480,0.23
4933,India,Gujarat,Junagadh,2009,Junagadh2009,123,Junagadh,209.28206,284732,0.23
4934,India,Gujarat,Junagadh,2010,Junagadh2010,123,Junagadh,251.52942,315892,0.23
4936,India,Gujarat,Junagadh,2012,Junagadh2012,123,Junagadh,262.47058,377257,0.23
4937,India,Gujarat,Junagadh,2013,Junagadh2013,123,Junagadh,225.375,405603,0.23
4938,India,Gujarat,Junagadh,2014,Junagadh2014,123,Junagadh,215.04762,446157,0.23
