,country,state,district,year,dyid,calcium,SDP
0,India,West Bengal,24 Paraganas North,2000,24 Paraganas North2000,50.588234,129691.0
1,India,West Bengal,24 Paraganas North,2001,24 Paraganas North2001,,139057.0
2,India,West Bengal,24 Paraganas North,2002,24 Paraganas North2002,85.666664,143931.0
3,India,West Bengal,24 Paraganas North,2003,24 Paraganas North2003,,152388.0
4,India,West Bengal,24 Paraganas North,2004,24 Paraganas North2004,57.040001,162491.0
5,India,West Bengal,24 Paraganas North,2005,24 Paraganas North2005,32.108109,172722.096
6,India,West Bengal,24 Paraganas North,2006,24 Paraganas North2006,,186279.4732
7,India,West Bengal,24 Paraganas North,2007,24 Paraganas North2007,42.833332,200772.3136
8,India,West Bengal,24 Paraganas North,2008,24 Paraganas North2008,112.0,208864.8407
9,India,West Bengal,24 Paraganas North,2009,24 Paraganas North2009,,225084.0983
10,India,West Bengal,24 Paraganas North,2010,24 Paraganas North2010,,238732.1144
11,India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,,247489.0428
12,India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,,257790.1705
13,India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,,263569.9096
14,India,West Bengal,24 Paraganas North,2014,24 Paraganas North2014,,269715.2299
15,India,West Bengal,24 Paraganas North,2015,24 Paraganas North2015,,286077.995
16,India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,45.093334,305911.9508
17,India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,20.564102,326244.3312
18,India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,27.125,344811.5665
19,India,West Bengal,24 Paraganas South,2000,24 Paraganas South2000,53.483871,129691.0
20,India,West Bengal,24 Paraganas South,2001,24 Paraganas South2001,51.947369,139057.0
21,India,West Bengal,24 Paraganas South,2002,24 Paraganas South2002,55.294117,143931.0
22,India,West Bengal,24 Paraganas South,2003,24 Paraganas South2003,,152388.0
23,India,West Bengal,24 Paraganas South,2004,24 Paraganas South2004,37.81818,162491.0
24,India,West Bengal,24 Paraganas South,2005,24 Paraganas South2005,43.285713,172722.096
25,India,West Bengal,24 Paraganas South,2006,24 Paraganas South2006,,186279.4732
26,India,West Bengal,24 Paraganas South,2007,24 Paraganas South2007,35.0,200772.3136
27,India,West Bengal,24 Paraganas South,2008,24 Paraganas South2008,,208864.8407
28,India,West Bengal,24 Paraganas South,2009,24 Paraganas South2009,42.799999,225084.0983
29,India,West Bengal,24 Paraganas South,2010,24 Paraganas South2010,31.0,238732.1144
30,India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,40.880001,247489.0428
31,India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,25.846153,257790.1705
32,India,West Bengal,24 Paraganas South,2013,24 Paraganas South2013,46.636364,263569.9096
33,India,West Bengal,24 Paraganas South,2014,24 Paraganas South2014,,269715.2299
34,India,West Bengal,24 Paraganas South,2015,24 Paraganas South2015,,286077.995
35,India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,58.085712,305911.9508
36,India,West Bengal,24 Paraganas South,2017,24 Paraganas South2017,44.703705,326244.3312
37,India,West Bengal,24 Paraganas South,2018,24 Paraganas South2018,35.644444,344811.5665
38,India,Telangana,Adilabad,2000,Adilabad2000,61.799999,
39,India,Telangana,Adilabad,2001,Adilabad2001,,
40,India,Telangana,Adilabad,2002,Adilabad2002,,
41,India,Telangana,Adilabad,2003,Adilabad2003,,
42,India,Telangana,Adilabad,2004,Adilabad2004,31.666666,79916.0
43,India,Telangana,Adilabad,2005,Adilabad2005,95.5,92751.0
44,India,Telangana,Adilabad,2006,Adilabad2006,41.700001,102977.0
45,India,Telangana,Adilabad,2007,Adilabad2007,72.400002,113456.0
46,India,Telangana,Adilabad,2008,Adilabad2008,109.88,128918.0
47,India,Telangana,Adilabad,2009,Adilabad2009,73.0,129267.0
48,India,Telangana,Adilabad,2010,Adilabad2010,85.63636,152123.0
49,India,Telangana,Adilabad,2011,Adilabad2011,110.36364,160602.0
50,India,Telangana,Adilabad,2012,Adilabad2012,,165080.1387
51,India,Telangana,Adilabad,2013,Adilabad2013,48.545456,172681.0219
52,India,Telangana,Adilabad,2014,Adilabad2014,75.272728,184192.0033
53,India,Telangana,Adilabad,2015,Adilabad2015,103.0,205923.2781
54,India,Telangana,Adilabad,2016,Adilabad2016,102.5,225107.7532
55,India,Telangana,Adilabad,2017,Adilabad2017,84.833336,246058.0951
56,India,Telangana,Adilabad,2018,Adilabad2018,113.5,268925.946
57,India,Uttar Pradesh,Agra,2000,Agra2000,55.599998,160015.0
58,India,Uttar Pradesh,Agra,2001,Agra2001,,162926.0
59,India,Uttar Pradesh,Agra,2002,Agra2002,,168198.0
60,India,Uttar Pradesh,Agra,2003,Agra2003,,177054.0
61,India,Uttar Pradesh,Agra,2004,Agra2004,64.0,185920.0
62,India,Uttar Pradesh,Agra,2005,Agra2005,74.153847,196772.0204
63,India,Uttar Pradesh,Agra,2006,Agra2006,,212401.0209
64,India,Uttar Pradesh,Agra,2007,Agra2007,,226014.1289
65,India,Uttar Pradesh,Agra,2008,Agra2008,,243188.2444
66,India,Uttar Pradesh,Agra,2009,Agra2009,,258315.0824
67,India,Uttar Pradesh,Agra,2010,Agra2010,,278942.3693
68,India,Uttar Pradesh,Agra,2011,Agra2011,,294034.6032
69,India,Uttar Pradesh,Agra,2012,Agra2012,,306987.7115
70,India,Uttar Pradesh,Agra,2013,Agra2013,,322446.2095
71,India,Uttar Pradesh,Agra,2014,Agra2014,,332572.1478
72,India,Uttar Pradesh,Agra,2015,Agra2015,,360995.6023
73,India,Uttar Pradesh,Agra,2016,Agra2016,40.903225,404934.0708
74,India,Uttar Pradesh,Agra,2017,Agra2017,,420432.6769
75,India,Uttar Pradesh,Agra,2018,Agra2018,62.295788,432613.7016
76,India,Gujarat,Ahmadabad,2000,Ahmadabad2000,60.0,86431.0
77,India,Gujarat,Ahmadabad,2001,Ahmadabad2001,,93455.0
78,India,Gujarat,Ahmadabad,2002,Ahmadabad2002,78.46154,101603.0
