"X","country","state","district","year","dyid","Serial.No.","District","calcium","SDP","Gini"
0,"India","West Bengal","24 Paraganas North",2000,"24 Paraganas North2000",625,"North Twenty Four",50.588234,151670,0.38
2,"India","West Bengal","24 Paraganas North",2002,"24 Paraganas North2002",625,"North Twenty Four",85.666664,168324,0.38
4,"India","West Bengal","24 Paraganas North",2004,"24 Paraganas North2004",625,"North Twenty Four",57.040001,190029,0.38
5,"India","West Bengal","24 Paraganas North",2005,"24 Paraganas North2005",625,"North Twenty Four",32.108109,201994,0.38
7,"India","West Bengal","24 Paraganas North",2007,"24 Paraganas North2007",625,"North Twenty Four",42.833332,234798,0.38
8,"India","West Bengal","24 Paraganas North",2008,"24 Paraganas North2008",625,"North Twenty Four",112,244262,0.38
16,"India","West Bengal","24 Paraganas North",2016,"24 Paraganas North2016",625,"North Twenty Four",45.093334,357756,0.38
17,"India","West Bengal","24 Paraganas North",2017,"24 Paraganas North2017",625,"North Twenty Four",20.564102,381534,0.38
18,"India","West Bengal","24 Paraganas North",2018,"24 Paraganas North2018",625,"North Twenty Four",27.125,403248,0.38
19,"India","West Bengal","24 Paraganas South",2000,"24 Paraganas South2000",629,"South Twenty Four",53.483871,151670,0.29
20,"India","West Bengal","24 Paraganas South",2001,"24 Paraganas South2001",629,"South Twenty Four",51.947369,162624,0.29
21,"India","West Bengal","24 Paraganas South",2002,"24 Paraganas South2002",629,"South Twenty Four",55.294117,168324,0.29
23,"India","West Bengal","24 Paraganas South",2004,"24 Paraganas South2004",629,"South Twenty Four",37.81818,190029,0.29
24,"India","West Bengal","24 Paraganas South",2005,"24 Paraganas South2005",629,"South Twenty Four",43.285713,201994,0.29
26,"India","West Bengal","24 Paraganas South",2007,"24 Paraganas South2007",629,"South Twenty Four",35,234798,0.29
28,"India","West Bengal","24 Paraganas South",2009,"24 Paraganas South2009",629,"South Twenty Four",42.799999,263230,0.29
29,"India","West Bengal","24 Paraganas South",2010,"24 Paraganas South2010",629,"South Twenty Four",31,279191,0.29
30,"India","West Bengal","24 Paraganas South",2011,"24 Paraganas South2011",629,"South Twenty Four",40.880001,289432,0.29
31,"India","West Bengal","24 Paraganas South",2012,"24 Paraganas South2012",629,"South Twenty Four",25.846153,301479,0.29
32,"India","West Bengal","24 Paraganas South",2013,"24 Paraganas South2013",629,"South Twenty Four",46.636364,308238,0.29
35,"India","West Bengal","24 Paraganas South",2016,"24 Paraganas South2016",629,"South Twenty Four",58.085712,357756,0.29
36,"India","West Bengal","24 Paraganas South",2017,"24 Paraganas South2017",629,"South Twenty Four",44.703705,381534,0.29
37,"India","West Bengal","24 Paraganas South",2018,"24 Paraganas South2018",629,"South Twenty Four",35.644444,403248,0.29
42,"India","Telangana","Adilabad",2004,"Adilabad2004",528,"Adilabad",31.666666,79916,0.37
43,"India","Telangana","Adilabad",2005,"Adilabad2005",528,"Adilabad",95.5,92751,0.37
44,"India","Telangana","Adilabad",2006,"Adilabad2006",528,"Adilabad",41.700001,102977,0.37
45,"India","Telangana","Adilabad",2007,"Adilabad2007",528,"Adilabad",72.400002,113456,0.37
46,"India","Telangana","Adilabad",2008,"Adilabad2008",528,"Adilabad",109.88,128918,0.37
47,"India","Telangana","Adilabad",2009,"Adilabad2009",528,"Adilabad",73,129267,0.37
48,"India","Telangana","Adilabad",2010,"Adilabad2010",528,"Adilabad",85.63636,152123,0.37
49,"India","Telangana","Adilabad",2011,"Adilabad2011",528,"Adilabad",110.36364,160602,0.37
51,"India","Telangana","Adilabad",2013,"Adilabad2013",528,"Adilabad",48.545456,172681,0.37
52,"India","Telangana","Adilabad",2014,"Adilabad2014",528,"Adilabad",75.272728,184192,0.37
53,"India","Telangana","Adilabad",2015,"Adilabad2015",528,"Adilabad",103,205923,0.37
54,"India","Telangana","Adilabad",2016,"Adilabad2016",528,"Adilabad",102.5,225108,0.37
55,"India","Telangana","Adilabad",2017,"Adilabad2017",528,"Adilabad",84.833336,246058,0.37
56,"India","Telangana","Adilabad",2018,"Adilabad2018",528,"Adilabad",113.5,268926,0.37
57,"India","Uttar Pradesh","Agra",2000,"Agra2000",569,"Agra",55.599998,198839,0.26
61,"India","Uttar Pradesh","Agra",2004,"Agra2004",569,"Agra",64,231029,0.26
62,"India","Uttar Pradesh","Agra",2005,"Agra2005",569,"Agra",74.153847,244514,0.26
73,"India","Uttar Pradesh","Agra",2016,"Agra2016",569,"Agra",40.903225,503182,0.26
75,"India","Uttar Pradesh","Agra",2018,"Agra2018",569,"Agra",62.295788,537577,0.26
76,"India","Gujarat","Ahmadabad",2000,"Ahmadabad2000",126,"Ahmedabad",60,118544,0.33
